"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Mike Trout","Angels","150","671","528","148","26","3","41","117","106","122","147","12","10","3","",".280",".422",".574",".997",".409","","159","2.9","-4.1","","53.5","-1.8","7.3","","5.3","10155"
"Fernando Tatis Jr.","Padres","150","677","592","168","28","5","39","110","100","66","161","9","26","10","",".284",".362",".549",".911",".377","","135","2.0","-1.4","","33.6","6.1","6.0","","2.9","19709"
"Juan Soto","Nationals","150","651","526","160","33","2","39","108","113","114","113","5","12","5","",".304",".429",".597","1.026",".419","","158","0.1","-2.5","","50.3","-10.0","6.0","","3.8","20123"
"Alex Bregman","Astros","150","660","546","151","35","2","32","101","100","98","87","9","5","2","",".277",".392",".522",".914",".383","","145","0.0","-2.8","","38.1","-0.2","6.0","","39.0","17678"
"Mookie Betts","Dodgers","150","685","584","161","33","3","34","111","90","84","108","7","20","5","",".275",".371",".515",".885",".369","","132","4.5","11.9","","33.5","4.4","5.8","","2.6","13611"
"Cody Bellinger","Dodgers","150","642","546","153","30","2","41","101","112","87","115","4","12","5","",".280",".380",".566",".946",".387","","143","1.1","0.3","","37.9","0.3","5.7","","15.2","15998"
"Ronald Acuna Jr.","Braves","150","683","578","163","29","2","41","115","99","86","171","10","28","10","",".282",".381",".552",".933",".386","","138","3.2","3.2","","37.1","-3.6","5.4","","1.6","18401"
"Corey Seager","Dodgers","150","645","572","168","37","2","31","95","97","60","110","6","3","1","",".295",".364",".531",".895",".372","","134","1.1","-3.1","","30.0","4.4","5.4","","37.6","13624"
"Anthony Rendon","Angels","150","656","557","153","35","2","27","92","96","84","98","10","3","1","",".276",".377",".492",".869",".365","","130","1.1","3.5","","25.9","6.0","5.3","","42.2","12861"
"Jose Ramirez","Indians","150","653","561","153","37","3","32","98","96","78","97","7","23","8","",".272",".364",".521",".885",".368","","128","3.8","1.4","","27.3","3.9","5.3","","10.8","13510"
"Matt Chapman","Athletics","150","663","578","144","34","4","35","93","98","68","166","9","2","1","",".249",".335",".500",".835",".348","","122","1.3","5.9","","19.8","8.4","5.0","","105.9","16505"
"Francisco Lindor","Mets","150","682","604","157","32","1","33","98","89","62","106","7","19","6","",".260",".333",".480",".813",".338","","112","0.3","6.2","","11.4","13.7","4.6","","17.4","12916"
"Manny Machado","Padres","150","661","582","158","29","2","37","95","106","69","115","5","9","4","",".272",".351",".518",".869",".359","","124","-0.9","3.3","","19.7","5.8","4.6","","18.5","11493"
"George Springer","Blue Jays","146","668","572","155","26","3","34","107","86","78","133","8","7","3","",".271",".364",".506",".870",".365","","129","0.6","-3.9","","25.6","-2.5","4.5","","55.3","12856"
"Freddie Freeman","Braves","150","662","559","164","37","2","32","100","102","90","122","7","6","2","",".295",".396",".540",".936",".387","","138","0.1","3.9","","33.2","-8.6","4.5","","11.6","5361"
"Yasmani Grandal","White Sox","130","565","471","110","21","1","26","76","73","83","142","5","3","1","",".234",".351",".446",".797",".340","","113","-3.1","0.4","","6.4","6.7","4.4","","127.8","11368"
"Rafael Devers","Red Sox","150","658","595","172","41","2","34","100","104","51","132","5","7","3","",".289",".347",".537",".884",".365","","124","1.5","-2.1","","22.1","0.0","4.4","","40.0","17350"
"Aaron Judge","Yankees","136","609","501","126","21","1","36","98","89","93","185","6","6","3","",".251",".373",".512",".884",".370","","132","0.5","5.6","","25.7","-1.9","4.4","","57.5","15640"
"Xander Bogaerts","Red Sox","150","649","569","161","37","1","26","90","95","69","116","5","8","3","",".283",".363",".488",".851",".357","","119","1.6","-3.9","","17.6","3.6","4.3","","34.8","12161"
"Bo Bichette","Blue Jays","149","673","613","173","40","3","25","99","83","46","132","5","24","9","",".282",".334",".480",".814",".340","","113","0.7","0.1","","11.6","7.5","4.2","","25.0","19612"
"Christian Yelich","Brewers","150","670","560","153","29","3","34","101","95","93","160","8","18","6","",".274",".382",".520",".902",".375","","131","2.7","-1.5","","30.0","-9.0","4.1","","11.1","11477"
"J.T. Realmuto","","140","598","538","143","30","2","24","75","82","45","128","9","7","3","",".265",".329",".459",".788",".332","","105","1.9","4.2","","5.6","10.9","4.1","","33.3","11739"
"Trea Turner","Nationals","150","688","611","174","35","5","23","104","79","61","123","6","34","8","",".285",".353",".475",".827",".349","","112","4.8","-4.2","","16.1","3.3","4.1","","7.5","16252"
"Vladimir Guerrero Jr.","Blue Jays","147","633","560","167","32","3","29","93","97","61","98","6","3","1","",".299",".371",".525",".895",".373","","135","-1.6","-5.2","","26.6","-7.4","4.0","","58.1","19611"
"Carlos Correa","Astros","150","622","545","143","28","1","27","81","87","64","140","6","2","1","",".262",".343",".469",".812",".342","","117","0.6","-2.4","","14.1","5.1","4.0","","125.5","14162"
"Nolan Arenado","Rockies","150","652","576","164","34","2","36","93","107","66","103","5","3","1","",".285",".361",".536",".897",".369","","114","0.4","5.4","","12.2","7.9","4.0","","29.3","9777"
"Trevor Story","Rockies","150","672","596","165","35","5","35","104","99","61","170","7","24","9","",".277",".348",".532",".880",".364","","111","2.4","-0.9","","11.9","6.6","3.9","","11.4","12564"
"Gleyber Torres","Yankees","149","625","548","149","27","1","32","87","96","64","120","6","6","3","",".272",".352",".497",".849",".355","","122","-0.3","-8.0","","17.5","-0.5","3.8","","70.1","16997"
"Trent Grisham","Padres","144","632","538","137","25","5","24","90","74","78","136","6","15","5","",".254",".352",".451",".803",".341","","112","0.5","5.2","","10.9","7.6","3.8","","65.1","18564"
"Ozzie Albies","Braves","150","641","578","162","35","4","25","88","84","48","104","6","14","5","",".281",".340",".483",".823",".344","","110","2.6","4.1","","10.8","6.6","3.7","","33.0","16556"
"DJ LeMahieu","","150","683","615","180","30","3","21","97","76","53","94","5","7","3","",".292",".351",".453",".803",".341","","113","-0.6","1.3","","10.6","3.4","3.7","","27.3","9874"
"Bryce Harper","Phillies","150","663","535","133","26","2","36","98","97","114","161","7","13","5","",".248",".384",".508",".892",".370","","128","-0.2","-1.4","","24.4","-9.1","3.6","","20.7","11579"
"Yordan Alvarez","Astros","131","552","475","133","25","1","37","86","99","67","135","4","3","1","",".280",".371",".570",".941",".385","","146","-0.3","0.0","","32.4","-15.3","3.6","","88.8","19556"
"Josh Donaldson","Twins","139","605","502","123","25","1","30","87","86","90","152","7","3","1","",".244",".364",".477",".841",".355","","121","-1.1","0.0","","15.5","-0.7","3.5","","187.4","5038"
"Ketel Marte","Diamondbacks","149","666","593","170","35","6","21","90","79","57","89","7","7","3","",".287",".354",".473",".827",".349","","113","0.8","-1.8","","12.2","1.0","3.4","","83.7","13613"
"Kris Bryant","Cubs","149","665","562","143","31","2","27","92","84","80","162","15","4","2","",".254",".360",".462",".821",".349","","115","2.5","-2.9","","16.0","-3.3","3.3","","128.6","15429"
"Eloy Jimenez","White Sox","150","632","578","166","30","2","39","90","107","42","141","5","1","1","",".287",".339",".546",".885",".365","","130","0.8","-1.7","","25.3","-13.9","3.3","","34.5","17484"
"Byron Buxton","Twins","136","531","483","126","29","3","25","73","77","34","135","5","18","5","",".261",".315",".488",".802",".333","","107","3.6","4.5","","8.1","6.8","3.3","","118.4","14161"
"Anthony Rizzo","Cubs","150","663","554","149","29","2","30","94","92","82","100","21","6","3","",".270",".381",".490",".870",".366","","126","-2.4","3.9","","20.6","-8.6","3.2","","98.4","3473"
"Jose Altuve","Astros","150","673","599","166","31","2","23","94","82","58","110","6","11","4","",".278",".345",".450",".796",".338","","114","0.2","-4.9","","12.4","-2.9","3.2","","97.3","5417"
"Luis Robert","White Sox","149","610","553","143","26","3","29","79","85","41","165","7","22","9","",".259",".317",".475",".792",".331","","107","1.2","2.3","","6.9","4.8","3.2","","38.6","20043"
"Paul DeJong","Cardinals","150","644","570","142","29","1","28","79","85","56","158","11","6","3","",".249",".325",".450",".775",".327","","104","0.4","0.9","","3.5","8.4","3.2","","225.3","18015"
