Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
Juan Soto,SDP,150,524,675,146,85,27,2,32,112,94,137,10,93,5,5,4,10,4,0.279
Aaron Judge,NYY,150,567,677,156,87,25,1,44,111,106,95,14,169,6,5,4,12,5,0.276
Mookie Betts,LAD,150,603,693,162,93,36,3,31,107,84,71,1,110,9,4,7,18,5,0.269
Mike Trout,LAA,150,572,677,147,77,28,2,39,105,99,88,10,179,8,5,4,3,1,0.257
Fernando Tatis Jr.,SDP,123,475,545,134,71,26,2,35,90,92,58,3,124,5,4,3,24,8,0.281
Julio Rodríguez,SEA,149,598,668,163,100,30,3,30,94,87,53,4,160,9,5,4,28,10,0.273
Ronald Acuña Jr.,ATL,147,580,682,156,93,32,1,30,110,80,80,5,155,12,4,6,43,12,0.269
Wander Franco,TBR,144,583,649,166,108,36,6,15,85,73,53,1,70,5,5,4,12,5,0.284
Yordan Alvarez,HOU,139,519,602,146,79,31,2,35,90,103,70,7,124,7,4,1,2,1,0.281
José Ramírez,CLE,150,578,663,151,82,35,4,29,91,97,72,15,89,7,5,1,25,7,0.26
Adley Rutschman,BAL,130,495,582,125,76,30,1,17,75,62,72,1,101,6,4,4,4,2,0.252
Nolan Arenado,STL,150,586,649,157,94,33,1,29,84,99,52,4,86,6,4,1,5,2,0.269
Vladimir Guerrero Jr.,TOR,147,574,653,167,96,32,1,39,99,110,66,5,100,7,5,1,7,3,0.291
Alex Bregman,HOU,150,558,660,146,86,34,1,25,87,89,86,2,85,9,5,1,3,1,0.262
Kyle Tucker,HOU,150,552,620,154,86,33,2,33,87,96,58,4,99,3,4,2,24,7,0.278
Carlos Correa,MIN,144,563,644,152,96,31,1,24,85,79,67,2,123,5,5,4,1,1,0.271
Manny Machado,SDP,150,588,663,157,97,30,1,30,88,97,65,9,124,3,5,1,10,4,0.267
Xander Bogaerts,SDP,150,594,675,158,104,33,1,20,88,78,65,2,128,7,5,4,9,3,0.266
Brandon Nimmo,NYM,144,565,667,151,100,29,5,16,92,63,79,0,121,12,4,6,7,3,0.267
Trea Turner,PHI,150,624,687,176,119,34,3,21,94,75,47,1,120,5,5,5,30,7,0.283
Freddie Freeman,LAD,150,579,675,169,108,34,2,25,99,88,81,11,103,7,5,4,10,4,0.292
Corey Seager,TEX,143,566,641,153,93,32,2,27,87,82,60,5,101,7,5,4,3,1,0.271
Jose Altuve,HOU,149,605,690,165,106,33,1,26,101,77,66,2,101,8,4,7,15,5,0.273
Francisco Lindor,NYM,150,594,666,148,94,26,4,24,82,85,58,2,124,8,5,2,15,5,0.249
J.T. Realmuto,PHI,128,491,548,125,79,24,3,19,66,71,42,2,121,10,4,1,15,5,0.254
Rafael Devers,BOS,150,592,662,164,92,39,2,31,91,99,56,9,130,7,5,2,5,2,0.277
Alejandro Kirk,TOR,116,429,493,122,80,23,1,17,64,67,55,1,55,5,3,1,1,0,0.283
Bo Bichette,TOR,150,617,672,173,107,38,1,26,93,89,42,0,134,5,5,4,18,6,0.28
Paul Goldschmidt,STL,150,580,666,158,97,32,1,29,90,94,74,1,144,5,5,2,7,2,0.273
Marcus Semien,TEX,150,617,692,154,95,30,3,25,92,73,59,0,122,4,4,6,23,7,0.249
Austin Riley,ATL,150,585,655,159,92,32,2,34,89,103,52,1,158,11,5,1,2,1,0.272
Will Smith,LAD,128,484,557,121,70,24,2,25,72,80,58,3,100,11,4,1,2,1,0.25
George Springer,TOR,138,555,635,143,85,25,3,30,94,77,62,1,119,8,4,6,14,4,0.257
Pete Alonso,NYM,150,567,649,147,81,27,1,38,91,107,66,12,127,10,4,1,4,2,0.259
Sean Murphy,ATL,133,502,571,122,71,29,2,20,69,74,54,1,124,10,4,1,1,1,0.244
Luis Robert Jr.,CHW,139,567,614,159,102,32,1,24,77,85,35,1,123,7,5,1,16,6,0.281
Bryan Reynolds,PIT,150,589,675,156,98,29,5,24,89,82,67,6,144,10,5,4,8,3,0.265
Masataka Yoshida,BOS,122,483,565,144,95,30,2,18,85,60,66,12,56,7,4,5,5,2,0.299
Michael Harris II,ATL,141,522,569,143,89,32,3,19,69,72,34,1,126,6,4,3,21,7,0.274
Yandy Díaz,TBR,139,538,634,151,105,31,1,14,84,61,81,3,86,6,4,5,5,2,0.281
Willy Adames,MIL,146,580,653,140,83,29,1,27,84,80,61,3,173,3,5,4,10,4,0.242
Andrés Giménez,CLE,144,535,596,141,92,29,3,18,70,72,37,4,119,17,5,2,21,7,0.264
Byron Buxton,MIN,130,535,595,128,64,28,3,32,85,77,42,0,165,9,4,5,13,4,0.239
Tommy Edman,STL,147,607,668,159,109,33,3,13,86,61,44,1,108,7,4,6,33,8,0.261
Bobby Witt Jr.,KCR,149,615,669,159,96,34,5,24,87,81,39,2,135,7,5,4,32,11,0.259
Matt Chapman,TOR,150,536,616,118,65,25,2,27,73,77,67,1,179,7,4,2,4,2,0.221
Gleyber Torres,NYY,138,548,612,143,92,27,1,23,80,73,51,2,127,4,4,4,16,6,0.261
Jeff McNeil,NYM,141,533,590,154,108,33,1,11,66,67,41,1,71,9,5,2,4,2,0.288
Nico Hoerner,CHC,136,546,602,152,108,28,4,11,72,57,39,4,75,8,4,5,22,7,0.278
Matt Olson,ATL,150,578,668,144,77,31,1,35,95,95,76,6,151,6,5,3,2,1,0.248
Gunnar Henderson,BAL,139,534,612,132,82,28,4,18,71,72,66,1,156,6,5,1,10,4,0.248
Jazz Chisholm Jr.,MIA,133,530,589,129,75,23,5,26,75,78,47,0,149,6,4,2,30,12,0.243
Luis Arraez,MIA,139,568,636,169,127,32,3,7,78,54,54,2,53,4,4,6,7,3,0.297
Amed Rosario,CLE,143,597,640,165,117,28,7,13,77,68,30,0,113,4,5,4,16,5,0.276
Dansby Swanson,CHC,150,595,660,147,93,30,2,22,80,74,51,1,166,5,5,4,16,6,0.247
Steven Kwan,CLE,141,566,647,159,115,28,5,10,85,56,64,2,68,7,4,6,19,6,0.28
