"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Fernando Tatis Jr.","SDP","129","548","473","143","29","2","48","110","116","67","139","4","29","5","",".302",".391",".677","1.067",".437","","3.3","-0.6","","58.3","5.4","8.2","19709"
"Juan Soto","WSN","154","670","514","161","31","3","36","121","122","148","105","3","14","6","",".313",".466",".595","1.061",".441","","-0.5","0.1","","64.1","-7.3","7.9","20123"
"Vladimir Guerrero Jr.","TOR","153","653","564","172","33","2","44","117","113","82","98","5","3","1","",".305",".397",".605","1.001",".418","","-0.4","0.2","","51.4","-11.8","6.2","19611"
"José Ramírez","CLE","134","570","493","135","34","5","30","91","99","67","78","5","26","4","",".274",".363",".546",".909",".378","","3.1","1.8","","32.2","3.9","5.6","13510"
"Trea Turner","LAD","134","602","553","167","31","5","28","96","82","41","106","5","28","5","",".302",".354",".528",".882",".373","","3.0","-1.9","","30.6","4.7","5.5","16252"
"Bo Bichette","TOR","152","650","598","175","35","3","30","109","102","45","125","4","24","4","",".293",".345",".512",".856",".364","","2.6","-0.2","","25.1","7.0","5.4","19612"
"Mike Trout","LAA","99","434","344","94","19","3","28","73","74","78","101","9","7","1","",".273",".417",".590","1.007",".416","","0.6","0.0","","36.1","1.6","5.3","10155"
"Yordan Alvarez","HOU","142","603","533","153","36","1","38","95","122","61","150","6","2","1","",".287",".365",".572",".937",".392","","-0.5","-1.1","","38.8","-7.7","5.2","19556"
"Mookie Betts","LAD","125","573","491","140","31","3","27","102","73","69","85","7","15","4","",".285",".377",".525",".902",".381","","0.8","7.5","","31.0","1.2","5.1","13611"
"Carlos Correa","","134","567","496","135","30","1","25","83","92","61","113","4","1","0","",".272",".353",".488",".841",".357","","-0.3","3.7","","20.5","10.0","5.0","14162"
"Corey Seager","TEX","130","556","496","144","34","2","25","88","89","51","91","4","4","0","",".290",".358",".518",".876",".371","","0.3","-1.3","","25.9","4.8","5.0","13624"
"Kyle Tucker","HOU","146","595","533","151","35","4","29","92","104","55","114","3","20","3","",".283",".351",".527",".878",".370","","2.3","4.9","","30.4","-1.7","4.9","18345"
"Ronald Acuña Jr.","ATL","121","542","455","125","24","2","35","103","83","74","144","10","17","7","",".275",".386",".567",".953",".400","","0.0","3.0","","33.7","-3.0","4.9","18401"
"Wander Franco","TBR","118","521","470","137","29","9","17","86","74","43","69","3","8","6","",".291",".352",".500",".852",".362","","-1.4","3.5","","21.7","9.2","4.9","23667"
"Bryce Harper","PHI","137","589","478","131","33","1","33","91","95","100","136","5","12","3","",".274",".401",".554",".956",".398","","0.6","-1.8","","36.9","-8.3","4.8","11579"
"Aaron Judge","NYY","126","543","469","128","22","0","33","80","89","68","144","3","4","2","",".273",".366",".531",".897",".380","","-0.5","7.1","","28.5","1.1","4.8","15640"
"Marcus Semien","TEX","144","645","578","153","33","3","29","95","78","62","119","2","11","3","",".265",".336",".483",".819",".349","","0.4","4.7","","18.7","7.1","4.8","12533"
"Alex Bregman","HOU","120","527","443","121","31","1","21","78","81","72","69","7","3","1","",".273",".380",".490",".869",".371","","-0.3","0.5","","25.1","2.4","4.6","17678"
"Rafael Devers","BOS","152","655","590","166","40","2","38","105","116","57","141","5","5","4","",".281",".348",".549",".897",".375","","-1.2","-6.5","","27.1","-4.1","4.5","17350"
"Bobby Witt Jr.","KCR","122","555","500","139","29","3","25","70","70","39","119","6","21","6","",".278",".335",".498",".833",".353","","1.3","3.7","","16.5","9.8","4.5","sa3011225"
"Ozzie Albies","ATL","150","655","600","167","40","7","27","103","91","47","118","4","17","3","",".278",".333",".503",".836",".353","","1.7","4.2","","16.9","6.6","4.5","16556"
"Francisco Lindor","NYM","126","560","494","131","28","2","24","84","72","53","94","5","13","5","",".265",".340",".476",".816",".345","","0.1","4.9","","15.4","11.1","4.5","12916"
