Rk,Name,Age,B,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Rel,Name-additional
1,CJ Abrams,23,L,537,492,71,126,25,4,14,56,32,4,29,100,.256,.312,.409,.720,201,7,12,3,3,1,78%,abramcj01
2,José Abreu,37,R,565,501,67,131,26,1,18,79,2,1,47,116,.261,.334,.425,.759,213,17,10,0,5,2,86%,abreujo02
3,Wilyer Abreu,25,L,243,216,30,60,13,1,8,33,6,2,23,56,.278,.351,.458,.810,99,3,2,0,1,0,26%,abreuwi02
4,Ronald Acuna Jr.,26,R,621,540,110,165,30,2,30,81,47,11,68,109,.306,.391,.535,.926,289,10,10,0,4,3,85%,acunaro01
5,Willy Adames,28,R,581,516,74,123,29,1,25,80,7,3,57,151,.238,.316,.444,.759,229,11,3,0,4,2,86%,adamewi01
6,Jordyn Adams,24,R,220,199,25,47,9,1,6,24,5,2,17,54,.236,.300,.382,.682,76,4,2,0,2,0,14%,adamsjo03
7,Riley Adams,28,R,295,263,28,63,16,2,9,32,2,1,25,78,.240,.316,.418,.735,110,6,5,1,1,0,60%,adamsri03
8,Jo Adell,25,R,260,238,28,58,12,2,9,31,5,1,17,75,.244,.301,.424,.726,101,5,3,0,1,0,61%,adelljo01
9,Ozzie Albies,27,B,557,505,81,137,29,4,25,86,13,3,40,99,.271,.327,.493,.820,249,6,5,0,6,1,84%,albieoz01
10,Nick Allen,25,R,397,362,41,84,12,1,7,31,6,2,26,74,.232,.286,.329,.614,119,8,2,5,2,0,71%,allenni02
11,Pete Alonso,29,R,598,521,81,130,23,2,36,102,5,1,58,125,.250,.337,.509,.845,265,16,13,0,5,7,87%,alonspe01
12,José Altuve,34,R,465,409,78,118,25,1,20,53,12,2,47,76,.289,.367,.501,.868,205,9,5,0,2,1,84%,altuvjo01
13,Jake Alu,27,L,288,258,31,63,9,1,7,32,7,1,22,66,.244,.310,.368,.678,95,5,4,1,3,0,42%,aluja01
14,Francisco Álvarez,22,R,413,371,53,86,15,1,22,60,5,1,36,98,.232,.308,.456,.764,169,12,6,0,2,0,64%,alvarfr01
15,Yordan Álvarez,27,L,504,431,80,126,26,1,30,89,2,1,61,102,.292,.387,.566,.953,244,10,8,0,4,5,84%,alvaryo01
16,Jacob Amaya,25,R,205,183,26,47,9,1,7,26,5,1,17,44,.257,.325,.432,.757,79,4,2,0,1,1,4%,amayaja01
17,Miguel Amaya,25,R,278,242,34,59,11,1,9,34,4,1,24,64,.244,.335,.409,.744,99,5,10,1,2,0,39%,amayami01
18,Miguel Andújar,29,R,259,238,29,59,11,1,8,33,5,1,17,50,.248,.298,.403,.702,96,5,1,0,2,0,55%,andujmi01
19,Jonathan Aranda,26,L,260,229,33,55,12,1,7,30,3,1,26,64,.240,.326,.393,.719,90,4,4,0,2,2,42%,arandjo01
20,Orlando Arcia,29,R,490,443,59,113,22,0,16,62,3,1,39,100,.255,.319,.413,.732,183,12,4,0,3,1,76%,arciaor01
21,Nolan Arenado,33,R,568,514,68,138,30,2,26,88,4,2,44,89,.268,.327,.486,.814,250,17,4,0,6,4,86%,arenano01
22,Gabriel Arias,24,R,378,340,45,79,17,1,12,37,6,3,34,104,.232,.306,.394,.700,134,8,3,1,2,0,62%,ariasga01
23,Randy Arozarena,29,R,592,517,81,136,28,3,20,76,23,9,58,145,.263,.350,.445,.795,230,11,13,0,4,2,86%,arozara01
24,Luis Arráez,27,L,569,518,74,168,27,3,9,58,5,3,43,52,.324,.378,.440,.818,228,11,4,1,4,5,85%,arraelu01
25,José Azocar,28,R,273,247,35,62,13,2,5,25,10,4,18,59,.251,.309,.381,.689,94,6,3,3,1,0,53%,azocajo01
26,Akil Baddoo,25,L,401,355,51,85,15,3,11,40,15,4,43,99,.239,.322,.392,.713,139,5,1,1,2,1,77%,baddoak01
27,Harrison Bader,30,R,403,370,50,92,16,2,11,47,18,3,25,80,.249,.301,.392,.693,145,7,4,1,3,2,78%,baderha01
28,Ji Hwan Bae,24,L,389,349,55,87,19,2,6,41,21,6,33,89,.249,.320,.367,.686,128,5,4,2,2,0,63%,baeji01
29,Javier Báez,31,R,533,492,63,118,21,3,17,66,13,2,28,137,.240,.290,.398,.688,196,12,8,0,3,1,85%,baezja01
30,Patrick Bailey,25,B,377,343,38,85,19,1,10,51,4,1,27,95,.248,.309,.397,.705,136,8,4,2,2,0,60%,bailepa01
31,Luken Baker,27,R,250,221,29,54,10,1,7,29,4,1,25,62,.244,.325,.394,.719,87,4,2,0,1,0,29%,bakerlu01
32,Austin Barnes,34,R,321,282,37,61,11,0,9,32,4,1,31,70,.216,.301,.351,.652,99,9,4,2,2,1,68%,barneau01
33,José Barrero,26,R,292,264,31,58,13,1,6,30,7,2,24,86,.220,.289,.345,.633,91,5,2,0,1,0,57%,garcijo02
34,Joey Bart,27,R,277,248,33,58,10,0,8,27,3,1,22,80,.234,.308,.371,.679,92,4,5,0,1,0,58%,bartjo01
35,Osleivis Basabe,23,R,247,223,34,56,12,1,7,31,4,2,21,57,.251,.323,.408,.731,91,5,3,0,1,0,28%,basabos01
36,Matthew Batten,29,R,272,239,34,59,12,1,7,28,5,2,27,61,.247,.330,.393,.723,94,3,3,1,1,0,39%,battema01
37,Brett Baty,24,L,399,359,46,83,14,1,12,42,4,1,32,99,.231,.298,.376,.674,135,7,3,1,2,0,64%,batybr01
38,Jake Bauers,28,L,336,299,36,67,15,0,11,34,6,2,32,93,.224,.301,.385,.686,115,4,2,0,2,1,66%,bauerja01
39,Josh Bell,31,B,573,501,63,128,26,1,20,72,2,1,63,111,.255,.340,.431,.771,216,17,3,0,4,2,86%,belljo02
40,Andrew Benintendi,29,L,563,506,65,139,28,2,10,56,11,4,48,92,.275,.339,.397,.736,201,8,3,1,4,2,85%,beninan01
41,Will Benson,26,L,371,327,54,86,16,6,12,38,16,2,39,101,.263,.345,.459,.804,150,5,3,1,2,0,61%,bensowi01
42,Jon Berti,34,R,452,404,55,104,18,3,8,38,25,5,40,95,.257,.327,.376,.703,152,10,3,1,3,1,79%,bertijo01
43,Christian Bethancourt,32,R,399,373,52,89,19,0,13,42,5,1,21,100,.239,.281,.394,.676,147,7,2,1,2,0,71%,bethach01
44,Christian Bethancourt,32,R,399,373,52,89,19,0,13,42,5,1,21,100,.239,.281,.394,.676,147,7,2,1,2,0,71%,bethach01
45,Mookie Betts,31,R,610,528,105,148,35,2,31,82,13,3,70,102,.280,.370,.530,.901,280,7,8,0,4,2,86%,bettsmo01
46,Bo Bichette,26,R,570,531,79,160,30,2,21,77,12,3,34,115,.301,.346,.484,.830,257,13,3,0,2,0,87%,bichebo01
47,Cavan Biggio,29,L,399,344,54,79,18,1,11,42,6,2,46,102,.230,.328,.384,.712,132,3,6,1,3,1,76%,biggica01
48,Charlie Blackmon,37,L,464,414,56,109,21,4,11,56,5,1,37,81,.263,.333,.413,.746,171,8,8,1,3,1,84%,blackch02
49,Dairon Blanco,31,R,270,242,35,61,13,3,8,34,22,4,22,64,.252,.321,.430,.751,104,5,3,2,1,0,37%,blancda02
50,JJ Bleday,26,L,375,324,43,68,16,1,12,36,7,2,45,90,.210,.309,.377,.686,122,6,3,0,3,0,67%,bledajj01
51,Xander Bogaerts,31,R,596,528,79,153,31,1,18,65,12,2,54,110,.290,.360,.455,.814,240,15,7,0,6,1,86%,bogaexa01
52,Alec Bohm,27,R,569,519,70,142,25,1,15,77,5,2,38,106,.274,.324,.412,.736,214,18,4,0,7,1,85%,bohmal01
53,Sean Bouchard,28,R,231,199,31,54,11,1,9,29,3,1,27,56,.271,.361,.472,.833,94,3,2,0,2,0,33%,bouchse01
54,Alex Bregman,30,R,628,538,88,141,29,2,22,86,4,1,76,85,.262,.359,.446,.805,240,18,8,0,5,2,86%,bregmal01
55,Will Brennan,26,L,432,401,46,109,22,1,8,46,13,4,23,66,.272,.318,.392,.709,157,5,5,0,2,2,67%,brennwi02
56,Jonah Bride,28,R,272,236,29,52,9,1,5,22,3,1,26,56,.220,.309,.331,.639,78,6,5,1,2,0,52%,bridejo01
57,Seth Brown,31,L,445,401,47,92,21,2,19,60,7,2,38,116,.229,.300,.434,.733,174,6,3,1,2,2,81%,brownse01
58,Vidal Bruján,26,B,258,233,32,49,10,1,6,27,7,4,20,59,.210,.279,.339,.618,79,4,3,1,2,0,49%,brujavi01
59,Vidal Bruján,26,B,258,233,32,49,10,1,6,27,7,4,20,59,.210,.279,.339,.618,79,4,3,1,2,0,49%,brujavi01
60,Kris Bryant,32,R,386,342,50,88,18,1,13,42,4,1,36,81,.257,.337,.430,.767,147,8,6,0,2,1,78%,bryankr01
61,Peyton Burdick,27,R,229,204,26,49,10,1,8,26,4,1,20,63,.240,.316,.417,.732,85,3,3,0,1,0,33%,burdipe01
62,Jake Burger,28,R,488,443,63,112,25,2,26,69,3,1,33,130,.253,.316,.494,.810,219,8,9,1,3,1,75%,burgeja01
63,Alec Burleson,25,L,379,341,41,85,20,1,10,42,6,1,30,63,.249,.316,.402,.717,137,11,4,1,2,0,62%,burleal01
64,Michael Busch,26,L,241,214,29,50,11,1,8,27,5,1,22,60,.234,.308,.407,.715,87,3,2,0,2,0,25%,buschmi02
65,Lawrence Butler,23,L,265,241,29,59,11,1,9,29,4,1,18,62,.245,.303,.411,.714,99,7,3,0,2,0,35%,butlela01
66,Byron Buxton,30,R,412,366,62,87,21,2,24,52,10,1,36,115,.238,.314,.503,.817,184,3,6,0,3,1,77%,buxtoby01
67,José Caballero,27,R,340,291,44,69,13,1,8,36,22,3,32,78,.237,.335,.371,.706,108,3,13,0,4,0,54%,cabaljo01
68,José Caballero,27,R,340,291,44,69,13,1,8,36,22,3,32,78,.237,.335,.371,.706,108,3,13,0,4,0,54%,cabaljo01
69,Trey Cabbage,27,L,228,206,27,51,11,1,7,28,5,2,18,61,.248,.311,.413,.724,85,4,2,0,2,0,19%,cabbatr01
