Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",150,695.049,594.553,189.21,113.966,34.2904,2.7879,38.1651,135.149,99.7594,79.0966,3.4752,107.733,10.4257,4.3338,6.6399,,56.0893,14.6412,0.318238,0.1138,0.155001,0.734191,0.404893,0.577864,0.415052,0.982757,0.259626,6.94812,0.33344,2.078,3.497,140.494,55.806,161.965,5.575,-0.391,58.9310564994812,-8.096999853849411,7.42962,1,,,,"18401"
"Juan Soto","NYY",150,673.76,530.94,150.941,84.372,26.6002,1.3529,38.6154,116.838,103.862,130.507,9.4326,108.683,4.0426,4.9008,3.3691,,11.4282,4.5553,0.284289,0.1937,0.161309,1.2008,0.425857,0.557676,0.414925,0.983533,0.273387,3.96522,0.289094,-1.091,-1.25119,136.12,54.026,170.703,-2.34219,-0.716,54.736515522003174,-10.380999982357025,6.70571,10.760000228881836,,,,"20123"
"Aaron Judge","NYY",150,669.665,554.575,149.755,79.8467,23.2782,0.6214,46.0083,110.631,113.985,102.994,12.054,178.684,4.6877,4.9567,2.451,,8.2008,3.0332,0.270035,0.1538,0.266826,0.576405,0.385838,0.563135,0.395765,0.948973,0.2931,3.49566,0.309839,0.067,-0.992142,124.636,43.0412,157.422,-0.925142,-1.937,45.15016758441925,-5.500999927520752,6.22253,11.539999961853027,,,,"15640"
"Mookie Betts","LAD",150,694.763,592.983,165.652,94.915,36.0447,1.6436,33.0485,115.868,89.4593,81.7735,2.0843,110.651,9.0319,4.3346,6.6394,,14.5145,3.9283,0.279353,0.1177,0.159264,0.739024,0.372691,0.51288,0.378143,0.885571,0.233527,4.83122,0.292323,1.188,-0.170088,119.14,34.4868,141.013,1.01791,1.004,36.31831169128418,0.8239999413490295,6.06334,5.340000152587891,,,,"13611"
"Adley Rutschman","BAL",140.65,633.5,536.113,145.712,92.7183,31.711,1.3555,19.9268,89.4022,72.1721,83.6854,3.801,98.9665,5.068,4.4848,4.1488,,3.2637,1.4188,0.271793,0.1321,0.156222,0.845593,0.37255,0.447506,0.355849,0.820056,0.175714,3.19321,0.298277,0.798,-1.31508,96.9043,19.7159,129.993,-0.517079,0.219,22.249606430530548,6.107999935746193,5.79092,53.97999954223633,,,,"26288"
"Yordan Alvarez","HOU",140.94,620.308,524.878,157.087,83.57,32.5016,2.2112,38.8037,100.96,112.508,79.9577,6.2031,122.979,9.9249,4.7038,0.8438,,1.2362,0.5554,0.299282,0.1289,0.198254,0.650174,0.398682,0.591417,0.414089,0.990098,0.292135,3.1107,0.321596,-0.366,-1.27586,124.89,49.3091,168.914,-1.64186,-0.049,49.57938838005066,-13.792000029236078,5.67023,16.950000762939453,,,,"19556"
"Julio Rodríguez","SEA",150,676.78,606.486,171.275,100.828,34.5665,2.5571,33.3239,102.277,94.9406,51.6383,5.4142,154.108,9.4749,4.7596,4.4213,,31.487,10.8912,0.282406,0.0762999,0.227708,0.335078,0.345632,0.512671,0.362577,0.858303,0.230265,5.99908,0.3255,1.53,0.494404,107.307,24.845,136.639,2.0244,-1.118,31.73582625389099,1.1740000247955322,5.57461,2.7100000381469727,,,,"23697"
"Fernando Tatis Jr.","SDP",150,669.208,594.005,164.906,92.9791,34.0273,1.4396,36.4597,99.0538,103.614,63.374,0.6692,144.462,4.6845,4.9356,2.2085,,26.5107,8.0986,0.277616,0.0947,0.21587,0.438689,0.349272,0.523886,0.370303,0.873158,0.24627,5.11423,0.307273,1.425,0.64824,110.4,28.8606,138.596,2.07324,5.676,34.07158088684082,-1.3029999732971191,5.54041,8.239999771118164,,,,"19709"
"José Ramírez","CLE",150,664.311,579.916,163.47,95.5153,36.4854,4.0294,27.4402,93.1081,96.8016,72.8749,17.9364,82.2901,5.3145,5.058,1.1474,,23.2427,6.7866,0.281886,0.1097,0.123873,0.885585,0.364405,0.50065,0.361236,0.865055,0.218764,5.61352,0.286232,1.382,0.583851,104.59,23.6474,133.535,1.96585,0.696,28.659494876861572,0.8799999803304672,5.19628,15.199999809265137,,,,"13510"
"Gunnar Henderson","BAL",142.56,641.977,561.791,146.443,84.633,28.834,5.7201,27.2562,92.4017,78.9169,65.6742,0.642,152.526,5.1358,4.2566,5.1193,,11.6694,4.1428,0.260672,0.1023,0.237588,0.430577,0.341133,0.477911,0.350726,0.819045,0.217239,5.6786,0.308563,1.252,-0.607466,95.4696,17.2485,126.442,0.644534,6.62,20.984608829021454,9.211999893188477,5.18614,32.65999984741211,,,,"26289"
