Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",152,688,580,173,96,33,2,42,139,114,93,9,109,11,4,0,3,42,9,0.298276,0.135174,0.15843,0.853211,0.402616,0.57931,0.411663,0.981927,0.281034,6.5358,0.30254,,3.12962,137.133,53.3039,159.694,3.12962,1.2,54.008403301239014,-6.299999952316284,7.09399,999,,,,"18401"
"Juan Soto","NYY",152,660,518,142,83,25,1,33,102,101,136,16,102,3,3,0,12,10,3,0.274131,0.206061,0.154545,1.33333,0.425758,0.517375,0.40021,0.943132,0.243243,3.71791,0.282383,,-0.85349,125.274,44.8564,160.503,-0.85349,-3.2,46.99326640367508,-10.47513222694397,5.87757,999,,,,"20123"
"Julio Rodríguez","SEA",152,673,609,167,100,31,2,34,103,107,52,11,143,10,2,0,6,31,8,0.27422,0.077266,0.212481,0.363636,0.340267,0.499179,0.353292,0.839446,0.224959,5.93256,0.306452,,1.6599,101.517,19.5163,130.203,1.6599,4,26.015464305877686,6.4728100299835205,5.51977,999,,,,"23697"
"Fernando Tatis Jr.","SDP",147,646,570,151,80,32,1,38,107,105,67,13,137,4,4,1,2,23,4,0.264912,0.103715,0.212074,0.489051,0.344186,0.524561,0.361726,0.868747,0.259649,5.59886,0.283208,,1.84838,101.969,23.258,132.846,1.84838,9,28.13530707359314,1.8791885375976562,5.18696,999,,,,"19709"
"Adley Rutschman","BAL",135,578,497,131,79,33,1,18,76,68,72,8,86,5,4,0,3,2,1,0.263581,0.124567,0.148789,0.837209,0.359862,0.442656,0.344868,0.802518,0.179074,2.84727,0.284635,,-1.16244,83.1437,12.7178,122.382,-1.16244,5.4,14.338814854621887,16.01875352859497,4.98544,999,,,,"26288"
"Gunnar Henderson","BAL",152,640,558,144,84,27,5,28,106,97,71,8,145,6,5,0,1,11,3,0.258065,0.110937,0.226562,0.489655,0.345313,0.47491,0.347898,0.820223,0.216846,5.86275,0.297436,,-0.245118,93.6726,15.6923,124.482,-0.245118,5.5,18.529276981949806,7.851557970046997,4.79894,999,,,,"26289"
"Corbin Carroll","ARI",152,655,570,155,95,29,8,23,104,92,65,6,130,13,3,4,2,37,4,0.27193,0.0992366,0.198473,0.5,0.357911,0.47193,0.355119,0.829841,0.2,8.14266,0.314286,,4.42493,99.7959,19.988,122.973,4.42493,9.7,23.06615447998047,2.479982376098633,4.77195,999,,,,"25878"
"Andrés Giménez","CLE",152,585,521,140,94,28,3,15,71,70,35,9,103,22,3,4,3,22,5,0.268714,0.0598291,0.176068,0.339806,0.339071,0.420345,0.326254,0.759416,0.151631,5.88082,0.307882,,1.19548,75.107,3.8282,109.288,1.19548,14.5,7.706236839294434,16.649470806121826,4.41066,999,,,,"19950"
"Bobby Witt Jr.","KCR",152,670,612,171,104,35,5,27,101,98,44,9,119,6,7,1,1,30,9,0.279412,0.0656716,0.177612,0.369748,0.330344,0.485294,0.342398,0.815638,0.205882,6.73021,0.30444,,1.08405,95.0034,13.3678,114.188,1.08405,1,12.474169611930847,8.385361671447754,4.35001,999,,,,"25764"
"Yordan Alvarez","HOU",140,592,502,144,77,30,1,36,94,108,75,13,113,10,5,0,7,0,1,0.286853,0.126689,0.190878,0.663717,0.386824,0.565737,0.396184,0.952561,0.278884,2.14556,0.301676,,-1.57014,110.387,38.2556,156.504,-1.57014,0,38.51040971279144,-15.226337432861328,4.32752,999,,,,"19556"
"Wander Franco","TBR",126,543,488,132,82,28,5,17,75,71,48,12,63,3,4,0,2,21,6,0.270492,0.0883978,0.116022,0.761905,0.337017,0.452869,0.332086,0.789885,0.182377,6.28362,0.279126,,0.735212,72.3448,6.18342,115.8,0.735212,5.7,11.015041828155518,11.685449600219727,4.10331,999,,,,"23667"
"Michael Harris II","ATL",152,606,561,158,97,35,3,23,88,85,34,10,115,7,3,1,1,20,3,0.28164,0.0561056,0.189769,0.295652,0.328926,0.477718,0.339029,0.806644,0.196078,6.10472,0.316901,,1.74751,84.2326,10.395,111.001,1.74751,7.5,10.006449818611145,9.72663140296936,4.02587,999,,,,"25931"
"Mookie Betts","LAD",130,592,501,133,78,29,1,25,97,82,79,5,95,7,5,0,2,8,2,0.265469,0.133446,0.160473,0.831579,0.369932,0.477046,0.36313,0.846978,0.211577,4.42409,0.279793,,-0.469271,94.1359,22.0041,130.948,-0.469271,-4.6,22.228124618530273,-2.4248087406158447,3.98533,999,,,,"13611"
"Austin Riley","ATL",152,655,579,159,93,31,2,33,94,99,58,14,152,11,7,0,3,1,1,0.274611,0.0885496,0.232061,0.381579,0.348092,0.506045,0.356492,0.854137,0.231434,2.82498,0.314214,,-1.36244,100.543,20.7349,122.708,-1.36244,-2,17.063724517822266,0.40667247772216797,3.96666,999,,,,"18360"
"José Ramírez","CLE",136,588,516,137,81,32,3,21,77,78,62,7,70,4,6,0,14,14,3,0.265504,0.105442,0.119048,0.885714,0.345238,0.46124,0.342955,0.806478,0.195736,5.12256,0.269142,,0.455049,83.6481,12.0037,120.864,0.455049,2,15.155056029558182,4.160493850708008,3.91824,999,,,,"13510"
