Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Charlie Culberson","ATL",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Charlie Culberson",3298,518586
"Michael Perez","NYM",3,8,8,4,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,"Michael Perez",12977,605421
"Cole Tucker","COL",5,8,10,4,4,0,0,0,2,2,1,0,2,1,0,0,0,0,0,0.5,"Cole Tucker",17326,657061
"Zack Collins","CLE",2,4,6,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.5,"Zack Collins",19181,641470
"Alejo Lopez","CIN",1,2,2,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0.5,"Alejo Lopez",21127,664670
"Forrest Wall","ATL",15,13,15,6,3,2,0,1,6,2,2,0,4,0,0,0,0,5,1,0.461538461,"Forrest Wall",16496,657088
"Abraham Toro","MIL",9,18,21,8,6,0,0,2,4,9,2,0,5,1,0,0,0,0,0,0.444444444,"Abraham Toro",19844,647351
"Tristan Gray","TBR",2,5,5,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.4,"Tristan Gray",19877,656484
"Jeter Downs","WSN",6,5,9,2,2,0,0,0,4,1,4,0,1,0,0,0,0,2,0,0.4,"Jeter Downs",22202,669023
"Ernie Clement","TOR",30,50,52,19,16,1,1,1,7,10,1,0,4,0,1,0,0,1,0,0.38,"Ernie Clement",20352,676391
"Luis Arraez","MIA",147,574,617,203,160,30,3,10,71,69,35,10,34,4,3,1,18,3,2,0.353658536,"Luis Arraez",18568,650333
"Ronald Acuña Jr.","ATL",159,643,735,217,137,35,4,41,149,106,80,3,84,9,3,0,15,73,14,0.337480559,"Ronald Acuna Jr.",18401,660670
"Drew Maggi","PIT",3,6,6,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0.333333333,"Drew Maggi",11381,543482
"Freddie Freeman","LAD",161,637,730,211,121,59,2,29,131,102,72,12,121,16,5,0,14,23,1,0.331240188,"Freddie Freeman",5361,518692
"Yandy Díaz","TBR",137,525,600,173,116,35,0,22,95,78,65,0,94,8,2,0,16,0,1,0.329523809,"Yandy Diaz",16578,650490
"Corey Seager","TEX",119,477,536,156,81,42,0,33,88,96,49,9,88,4,6,0,9,2,1,0.327044025,"Corey Seager",13624,608369
"Nick Loftin","KCR",19,62,68,20,14,5,1,0,10,10,4,0,12,1,1,0,0,2,0,0.322580645,"Nick Loftin",27630,679845
"Luis Campusano","SDP",49,163,174,52,38,7,0,7,27,30,7,0,21,3,1,0,8,0,0,0.319018404,"Luis Campusano",22217,669134
"Sean Bouchard","COL",21,38,43,12,6,2,0,4,11,7,4,0,14,0,1,0,0,0,1,0.315789473,"Sean Bouchard",21270,656248
"Wilyer Abreu","BOS",28,76,85,24,16,6,0,2,10,14,9,0,23,0,0,0,0,3,1,0.315789473,"Wilyer Abreu",23772,677800
"Noelvi Marte","CIN",35,114,123,36,26,7,0,3,15,15,8,0,25,1,0,0,1,6,2,0.315789473,"Noelvi Marte",26517,682622
"Harold Ramírez","TBR",122,400,434,125,92,19,2,12,58,68,22,0,79,6,6,0,7,5,3,0.3125,"Harold Ramirez",14387,623912
"Weston Wilson","PHI",8,16,22,5,4,0,0,1,5,2,6,0,5,0,0,0,0,3,1,0.3125,"Weston Wilson",19358,642215
"Jose Altuve","HOU",90,360,410,112,72,21,2,17,76,51,44,0,71,5,1,0,9,14,2,0.311111111,"Jose Altuve",5417,514888
"Royce Lewis","MIN",58,217,239,67,45,7,0,15,36,52,20,0,55,2,0,0,5,6,1,0.30875576,"Royce Lewis",20437,668904
"Josh Naylor","CLE",121,452,495,139,91,31,0,17,52,97,33,9,68,3,7,0,11,10,3,0.307522123,"Josh Naylor",18839,647304
"Cody Bellinger","CHC",130,499,556,153,97,29,1,26,95,97,40,3,87,5,12,0,7,20,6,0.306613226,"Cody Bellinger",15998,641355
"Mookie Betts","LAD",152,584,693,179,99,40,1,39,126,107,96,3,107,8,5,0,5,14,3,0.306506849,"Mookie Betts",13611,605141
