jo"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Jacob deGrom","Mets","14","9","3.01","32","32","0","201.0","154","67","24","266","52","1.03","11.96","2.35","2.97","5.8","5.7","7.5","10954"
"Shane Bieber","Indians","14","9","3.23","31","31","0","195.0","163","70","24","246","47","1.08","11.36","2.19","3.14","5.3","5.7","9.6","19427"
"Gerrit Cole","Yankees","15","9","3.53","32","32","0","201.0","163","79","30","265","57","1.09","11.83","2.56","3.46","5.3","5.0","6.9","13125"
"Max Scherzer","Nationals","12","9","3.81","29","29","0","179.0","151","76","29","224","50","1.13","11.25","2.54","3.76","4.0","3.9","29.5","3137"
"Yu Darvish","Padres","13","9","3.70","31","31","0","189.0","160","78","26","230","58","1.15","10.92","2.76","3.60","4.0","3.8","18.1","13074"
"Luis Castillo","Reds","11","11","3.82","31","31","0","187.0","165","79","25","217","69","1.25","10.45","3.31","3.82","3.8","4.0","27.3","15689"
"Trevor Bauer","","12","11","4.09","32","32","0","203.0","183","92","30","229","71","1.25","10.17","3.15","4.10","3.8","3.6","16.2","12703"
"Tyler Glasnow","Rays","11","9","3.58","28","28","0","163.0","130","65","20","209","64","1.19","11.56","3.55","3.54","3.6","3.7","53.6","14374"
"Brandon Woodruff","Brewers","10","10","3.85","29","29","0","175.0","156","75","25","196","57","1.21","10.05","2.92","3.91","3.5","3.5","36.5","16162"
"Aaron Nola","Phillies","11","11","4.10","31","31","0","190.0","176","87","27","208","69","1.29","9.83","3.28","4.10","3.4","3.2","24.0","16149"
"Walker Buehler","Dodgers","12","9","3.85","29","29","0","176.0","157","75","26","197","51","1.18","10.12","2.62","3.88","3.4","3.1","21.1","19374"
"Carlos Carrasco","Mets","11","9","3.68","29","29","0","174.0","154","71","24","198","52","1.18","10.23","2.70","3.76","3.3","3.3","69.2","6632"
"German Marquez","Rockies","11","12","4.44","31","31","0","192.0","194","95","30","186","57","1.31","8.71","2.69","4.33","3.1","3.8","161.9","15038"
"Clayton Kershaw","Dodgers","12","9","3.78","29","29","0","178.0","169","75","26","182","45","1.20","9.20","2.25","3.92","3.1","3.3","35.6","2036"
"Framber Valdez","Astros","11","7","3.56","26","26","0","152.0","139","60","14","156","62","1.32","9.23","3.64","3.74","3.0","3.2","95.1","17295"
"Lance Lynn","White Sox","12","11","4.24","31","31","0","191.0","180","90","31","202","63","1.27","9.48","2.95","4.35","3.0","2.8","52.6","2520"
"Jose Berrios","Twins","12","10","4.26","31","31","0","188.0","177","89","28","193","62","1.27","9.27","2.97","4.27","3.0","3.2","87.8","14168"
"Charlie Morton","Braves","11","9","3.94","29","29","0","168.0","156","74","21","175","56","1.26","9.38","2.99","3.96","3.0","3.1","126.4","4676"
"Jesus Luzardo","Athletics","10","8","3.88","26","26","0","151.0","139","65","19","155","51","1.26","9.26","3.07","3.98","3.0","2.7","104.3","19959"
"Lance McCullers Jr.","Astros","11","8","3.82","28","28","0","161.0","151","68","18","164","58","1.30","9.17","3.26","3.88","2.9","3.0","126.6","14120"
"Blake Snell","Padres","11","8","3.62","28","28","0","151.0","127","61","19","182","58","1.23","10.84","3.46","3.71","2.9","3.1","46.3","13543"
"Lucas Giolito","White Sox","11","10","4.07","29","29","0","172.0","150","78","27","203","65","1.25","10.59","3.38","4.19","2.9","2.9","20.3","15474"
"Hyun-Jin Ryu","Blue Jays","12","9","4.16","29","29","0","179.0","182","83","26","160","47","1.28","8.04","2.39","4.21","2.9","3.0","77.1","14444"
"Masahiro Tanaka","","10","10","4.27","29","29","0","166.0","169","79","27","151","40","1.26","8.16","2.18","4.33","2.9","2.5","312.0","15764"
"Kenta Maeda","Twins","11","10","4.31","29","29","0","172.0","162","82","27","179","58","1.28","9.41","3.02","4.32","2.8","2.8","46.4","18498"
"Stephen Strasburg","Nationals","10","10","4.37","28","28","0","163.0","160","79","26","161","50","1.29","8.91","2.74","4.36","2.8","2.4","72.4","10131"
"Sonny Gray","Reds","10","11","4.26","29","29","0","168.0","158","80","23","181","70","1.36","9.70","3.74","4.25","2.8","2.7","63.4","12768"
"Kevin Gausman","Giants","10","10","3.97","29","29","0","170.0","158","75","23","178","52","1.24","9.41","2.77","3.94","2.7","2.8","137.9","14107"
"Patrick Corbin","Nationals","11","11","4.37","31","31","0","190.0","192","93","30","181","62","1.33","8.54","2.94","4.44","2.7","2.7","139.5","9323"
"Corey Kluber","Rangers","10","8","4.17","26","26","0","156.0","151","72","25","160","42","1.24","9.28","2.44","4.18","2.7","2.7","228.7","2429"
"Jack Flaherty","Cardinals","11","11","4.08","31","31","0","182.0","163","82","27","204","66","1.26","10.08","3.27","4.16","2.7","3.0","30.4","17479"
"Dinelson Lamet","Padres","9","7","3.76","24","24","0","137.0","113","57","19","176","51","1.19","11.50","3.31","3.73","2.6","2.6","70.9","17186"
"Kyle Hendricks","Cubs","11","12","4.42","31","31","0","193.0","204","95","30","155","43","1.28","7.23","2.02","4.46","2.6","2.5","87.6","12049"
"Max Fried","Braves","11","10","3.99","29","29","0","171.0","167","76","20","160","64","1.36","8.41","3.38","4.17","2.6","3.0","62.3","13743"
"Zack Wheeler","Phillies","10","11","4.42","29","29","0","181.0","181","89","29","168","54","1.30","8.34","2.71","4.46","2.5","2.4","92.3","10310"
"Joe Musgrove","Padres","11","10","4.25","29","29","0","169.0","167","80","26","161","50","1.28","8.52","2.64","4.33","2.5","2.2","148.7","12970"
"Andrew Heaney","Angels","11","10","4.40","29","29","0","172.0","164","84","30","177","52","1.26","9.27","2.74","4.50","2.5","2.4","210.1","15423"
"Zack Greinke","Astros","12","10","4.36","31","31","0","191.0","199","92","32","166","42","1.26","7.83","1.97","4.40","2.5","2.5","114.8","1943"
"Chris Sale","Red Sox","7","4","3.35","16","16","0","93.0","75","35","12","120","25","1.07","11.62","2.39","3.29","2.5","2.6","242.8","10603"
"Nathan Eovaldi","Red Sox","10","8","4.10","26","26","0","149.0","142","68","22","153","45","1.25","9.25","2.69","4.08","2.5","2.9","237.8","9132"
"Zac Gallen","Diamondbacks","9","10","4.29","28","28","0","165.0","153","78","24","178","63","1.31","9.70","3.43","4.24","2.4","2.5","40.0","19291"
"Corbin Burnes","Brewers","9","9","4.10","26","26","0","148.0","130","68","22","168","61","1.29","10.20","3.73","4.21","2.3","2.5","63.9","19361"
