"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Jacob deGrom","NYM","12","6","2.32","26","26","0","155.0","105","40","14","233","34","0.89","13.52","1.96","2.07","6.3","5.5","999.0","10954"
"Gerrit Cole","NYY","15","8","3.29","32","32","0","199.0","157","73","27","263","52","1.05","11.94","2.35","3.16","5.4","5.2","999.0","13125"
"Corbin Burnes","MIL","12","8","2.97","29","29","0","174.0","135","57","17","230","50","1.07","11.89","2.60","2.81","5.2","5.1","999.0","19361"
"Zack Wheeler","PHI","14","10","3.32","32","32","0","203.0","180","75","23","221","50","1.13","9.77","2.20","3.31","5.1","4.9","999.0","10310"
"Aaron Nola","PHI","13","10","3.57","32","32","0","192.0","168","76","25","224","54","1.15","10.50","2.51","3.50","4.5","4.0","999.0","16149"
"Shane Bieber","CLE","12","10","3.36","31","31","0","193.0","164","72","24","232","54","1.13","10.84","2.52","3.31","4.5","4.7","999.0","19427"
"Max Scherzer","","12","9","3.43","31","31","0","180.0","148","69","25","228","45","1.07","11.42","2.25","3.31","4.4","4.3","999.0","3137"
"Brandon Woodruff","MIL","12","9","3.39","31","31","0","187.0","161","70","22","220","52","1.13","10.57","2.48","3.32","4.4","4.4","999.0","16162"
"Logan Webb","SFG","12","10","3.38","32","32","0","189.0","176","71","15","189","57","1.24","9.03","2.74","3.25","4.1","3.9","999.0","17995"
"Carlos Rodon","","11","9","3.47","29","29","0","163.0","133","63","20","205","51","1.13","11.37","2.84","3.37","4.0","3.8","999.0","16137"
"Luis Castillo","CIN","12","10","3.77","32","32","0","192.0","177","81","22","210","71","1.29","9.82","3.32","3.71","3.9","3.9","999.0","15689"
"Walker Buehler","LAD","13","9","3.79","32","32","0","198.0","183","84","26","214","56","1.21","9.72","2.55","3.71","3.9","3.3","999.0","19374"
"Charlie Morton","ATL","12","8","3.40","29","29","0","169.0","147","64","17","196","52","1.18","10.44","2.78","3.30","3.8","3.9","999.0","4676"
"Sandy Alcantara","MIA","12","11","3.63","32","32","0","200.0","185","81","21","200","61","1.23","9.01","2.75","3.59","3.7","3.6","999.0","18684"
"Robbie Ray","","12","10","3.77","32","32","0","188.0","155","79","28","242","70","1.19","11.56","3.35","3.76","3.7","3.6","999.0","11486"
"Kevin Gausman","","12","10","3.78","32","32","0","191.0","173","80","26","213","54","1.19","10.00","2.54","3.70","3.6","3.6","999.0","14107"
"Chris Sale","BOS","12","8","3.57","29","29","0","171.0","145","68","22","210","50","1.14","11.08","2.65","3.43","3.6","4.2","999.0","10603"
"Justin Verlander","","12","8","3.62","29","29","0","175.0","148","70","27","213","44","1.09","10.93","2.24","3.62","3.6","3.8","999.0","8700"
"Max Fried","ATL","12","9","3.56","31","31","0","185.0","176","73","20","185","54","1.25","9.03","2.65","3.58","3.5","3.9","999.0","13743"
"Joe Musgrove","SDP","12","9","3.62","31","31","0","182.0","163","73","22","197","53","1.18","9.74","2.63","3.65","3.5","3.3","999.0","12970"
"Eduardo Rodriguez","DET","11","11","3.82","32","32","0","185.0","171","79","24","193","61","1.25","9.39","2.97","3.83","3.5","3.7","999.0","13164"
