Rk,Name,Age,T,W,L,W-L%,ERA,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Rel,Name-additional
1,Andrew Abbott,25,L,8,6,.571,4.03,2,114.0,104,53,51,16,44,1,123,3,1,2,485,1.298,8.2,1.3,3.5,9.7,2.80,53%,abbotan01
2,Bryan Abreu,27,R,4,2,.667,3.09,3,67.0,53,26,23,7,27,0,82,3,0,3,279,1.194,7.1,0.9,3.6,11.0,3.04,56%,abreubr01
3,Jason Adam,32,R,3,3,.500,3.41,7,58.0,45,25,22,7,21,1,65,6,0,2,241,1.138,7.0,1.1,3.3,10.1,3.10,50%,adamja01
4,Austin Adams,33,R,2,2,.500,4.50,1,34.0,30,19,17,4,15,0,36,5,0,2,148,1.324,7.9,1.1,4.0,9.5,2.40,29%,adamsau02
5,Ty Adcock,27,R,2,2,.500,4.09,1,33.0,30,17,15,5,10,0,31,1,0,1,138,1.212,8.2,1.4,2.7,8.5,3.10,13%,adcocty01
6,Joan Adon,25,R,4,8,.333,5.46,1,89.0,93,56,54,12,40,2,85,5,0,7,400,1.494,9.4,1.2,4.0,8.6,2.13,53%,adonjo01
7,Keegan Akin,29,L,2,3,.400,4.78,1,49.0,50,29,26,7,17,1,48,1,0,2,211,1.367,9.2,1.3,3.1,8.8,2.82,54%,akinke01
8,Jorge Alcalá,28,R,2,2,.500,4.50,1,34.0,30,18,17,5,13,0,33,2,0,1,143,1.265,7.9,1.3,3.4,8.7,2.54,28%,alcaljo01
9,Sandy Alcántara,28,R,9,10,.474,3.50,1,175.0,154,75,68,19,47,1,157,7,1,4,713,1.149,7.9,1.0,2.4,8.1,3.34,80%,alcansa01
10,Tyler Alexander,29,L,3,4,.429,4.50,1,68.0,68,37,34,11,19,0,58,2,0,1,287,1.279,9.0,1.5,2.5,7.7,3.05,61%,alexaty01
11,Logan Allen,25,L,7,7,.500,3.98,2,122.0,119,58,54,16,46,1,120,3,0,2,525,1.352,8.8,1.2,3.4,8.9,2.61,57%,allenlo02
12,Yency Almonte,30,R,2,2,.500,4.50,1,52.0,46,28,26,7,22,1,52,4,0,2,224,1.308,8.0,1.2,3.8,9.0,2.36,48%,almonye01
13,José Alvarado,29,L,3,2,.600,3.53,5,51.0,43,24,20,5,23,2,63,2,0,3,216,1.294,7.6,0.9,4.1,11.1,2.74,50%,alvarjo03
14,Adbert Alzolay,29,R,3,4,.429,3.92,8,62.0,55,29,27,8,18,1,63,4,1,1,255,1.177,8.0,1.2,2.6,9.1,3.50,54%,alzolad01
