"Player","Team","Positions","IP","SO","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Gerrit Cole","NYY","SP","201.5","227","14","0","3.73","1.15","84","178","54","30","32","32","10","0"
"Spencer Strider","ATL","SP,RP","185.0","257","15","0","3.16","1.08","65","138","62","21","31","31","7","0"
"Corbin Burnes","MIL","SP","198.5","221","12","0","3.70","1.21","82","177","63","25","32","32","11","0"
"Zack Wheeler","PHI","SP","198.5","202","13","0","3.56","1.15","79","180","48","24","32","32","10","0"
"Luis Castillo","SEA","SP","196.0","208","12","0","3.60","1.19","79","175","59","25","32","32","11","0"
"Kevin Gausman","TOR","SP","194.5","224","13","0","3.49","1.14","76","169","52","25","32","32","10","0"
"Zac Gallen","ARI","SP","197.5","204","12","0","3.85","1.22","85","187","55","24","32","32","11","0"
"George Kirby","SEA","SP","192.5","185","12","0","3.58","1.12","77","182","33","25","32","32","11","0"
"Pablo Lopez","MIN","SP","194.5","217","13","0","3.52","1.16","76","173","54","23","32","32","10","0"
"Emmanuel Clase","CLE","RP","66.0","68","4","33","3.14","1.17","23","59","18","6","66","0","3","0"
"Devin Williams","MIL","RP","66.0","90","4","29","3.14","1.18","23","48","30","6","66","0","3","0"
"Josh Hader","","RP","62.0","86","3","0","3.34","1.16","23","45","27","7","62","0","3","0"
"Max Fried","ATL","SP","185.0","177","14","0","3.55","1.23","73","181","46","20","31","31","8","0"
"Tyler Glasnow","TB","SP","164.0","207","12","0","3.24","1.12","59","131","52","17","28","28","8","0"
"Freddy Peralta","MIL","SP","165.0","198","11","0","3.65","1.18","67","137","57","22","29","29","9","0"
"Aaron Nola","PHI","SP","196.5","204","13","0","3.78","1.16","83","183","45","28","32","32","10","0"
"Logan Webb","SF","SP","202.5","183","12","0","3.53","1.23","80","205","45","18","32","32","11","0"
"Framber Valdez","HOU","SP","195.0","198","14","0","3.37","1.24","73","179","63","17","31","31","8","0"
"Jordan Romano","TOR","RP","66.0","76","3","32","3.68","1.23","27","56","25","8","66","0","3","0"
"Tarik Skubal","DET","SP","171.0","198","11","0","3.32","1.13","63","148","46","20","29","29","9","0"
"Eury Perez","MIA","SP","132.0","147","8","0","4.09","1.23","60","117","45","19","24","24","8","0"
"Grayson Rodriguez","BAL","SP","166.0","181","11","0","3.58","1.21","66","144","57","20","29","29","9","0"
"Logan Gilbert","SEA","SP","188.0","187","11","0","3.85","1.17","81","176","44","27","32","32","11","0"
"Zach Eflin","TB","SP,RP","184.0","178","12","0","3.62","1.14","74","175","35","23","31","31","9","0"
"Walker Buehler","LAD","SP","157.0","148","10","0","4.36","1.29","76","156","47","24","26","26","9","0"
"David Bednar","PIT","RP","68.0","79","4","33","3.57","1.21","27","58","24","8","68","0","3","0"
"Joe Ryan","MIN","SP","179.0","197","11","0","4.02","1.17","80","161","48","28","31","31","10","0"
"Kodai Senga","NYM","SP","187.0","216","12","0","3.75","1.28","78","161","79","22","31","31","10","0"
"Bobby Miller","LAD","SP","167.0","166","11","0","3.99","1.25","74","159","50","22","28","28","9","0"
"Jesus Luzardo","MIA","SP","181.0","206","11","0","3.73","1.23","75","160","63","23","31","31","10","0"
"Raisel Iglesias","ATL","RP","66.0","77","4","31","3.55","1.17","26","58","19","8","66","0","3","0"
"Ryan Pressly","HOU","RP","64.0","72","4","30","3.38","1.19","24","57","19","7","64","0","3","0"
"Alexis Diaz","CIN","RP","68.0","81","3","31","4.37","1.35","33","58","34","10","68","0","3","0"
"Camilo Doval","SF","RP","66.0","79","3","35","3.27","1.24","24","55","27","6","66","0","3","0"
"Joe Musgrove","SD","SP","177.0","173","11","0","3.86","1.21","76","166","48","23","29","29","10","0"
"Justin Steele","CHC","SP","181.0","174","12","0","3.68","1.25","74","171","55","20","31","31","10","0"
"Cole Ragans","KC","RP,SP","177.0","186","11","0","3.92","1.33","77","160","75","21","29","29","10","0"
"Jhoan Duran","MIN","RP","66.0","91","4","28","2.59","1.12","19","49","25","4","66","0","3","0"
"Ryan Helsley","STL","RP","65.0","85","4","30","3.18","1.18","23","49","28","7","65","0","3","0"
"Kyle Bradish","BAL","SP","181.0","178","11","0","3.88","1.26","78","171","57","22","31","31","10","0"
"Chris Bassitt","TOR","SP","195.0","174","12","0","4.22","1.29","92","192","60","28","32","32","11","0"
"Clay Holmes","NYY","RP","66.0","69","4","32","3.27","1.27","24","59","25","5","66","0","3","0"
"Pete Fairbanks","TB","RP","66.0","90","4","30","3.00","1.12","22","48","26","6","66","0","3","0"
"Paul Sewald","ARI","RP","66.0","75","3","27","3.95","1.26","29","57","26","9","66","0","3","0"
