Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Jacob deGrom","TEX",12.7577,7.7758,19.4573,2.84602,29.16,29.16,0,0,175.805,695.706,133.194,60.331,55.5938,19.6511,35.2758,,5.6923,237.469,12.1568,1.80588,6.73178,1.006,0.341335,0.050705,0.29062996059656143,0.20343,0.958275,0.285557,0.767168,0.382932,,2.61718,5.99896,5.12622,37.630001068115234,,,,"10954"
"Paul Skenes","PIT",12.9649,8.8858,21.0639,2.81242,30.78,30.78,0,0,188.104,759.711,147.452,64.9665,58.7809,15.7172,55.2264,,7.5295,242.14,11.5854,2.64235,4.38449,0.752,0.318726,0.072694,0.2460319846868515,0.211565,1.07748,0.300011,0.76221,0.470317,,2.67905,5.78576,5.78693,12.380000114440918,,,,"33677"
"Tarik Skubal","DET",13.1955,9.5758,21.6204,2.92263,32,32,0,0,196.234,788.405,161.048,69.9701,63.7244,19.6452,44.9415,,8.0023,229.583,10.5295,2.06118,5.10848,0.901,0.291199,0.0570031,0.2341959960758686,0.218975,1.04971,0.290812,0.762072,0.435915,,2.93743,5.06653,5.09835,12.630000114440918,,,,"22267"
"Garrett Crochet","CHW",11.3314,9.5292,17.7288,2.93464,30.78,30.78,0,0,170.138,681.37,128.882,60.5626,55.4771,17.6188,51.1839,,6.5139,222.231,11.7556,2.70753,4.34181,0.932,0.326153,0.0751191,0.25103408843278885,0.20665,1.05835,0.289882,0.769006,0.427096,,2.91771,4.85056,4.7043,48,,,,"27463"
"Zack Wheeler","PHI",13.4387,9.4566,20.5785,3.32408,32,32,0,0,198.518,810.278,171.307,79.883,73.3211,22.7193,50.9875,,8.6651,212.465,9.63231,2.31157,4.16701,1.03,0.262213,0.0629259,0.19928690791130066,0.228219,1.11977,0.288273,0.747616,0.425638,,3.41521,4.64002,4.755,21.1299991607666,,,,"10310"
"Chris Sale","ATL",13.8156,7.9126,19.973,3.07063,30.78,30.78,0,0,186.772,754.33,152.335,69.4904,63.7231,19.6318,46.9706,,8.9697,230.406,11.1026,2.26338,4.90533,0.946,0.305445,0.062268,0.24317698553204536,0.218123,1.06711,0.295981,0.755526,0.425511,,2.96421,4.481,5.05359,38.380001068115234,,,,"10603"
"Tyler Glasnow","LAD",11.1928,6.8873,15.729,3.22406,25.92,25.92,0,0,153.268,618.764,124.924,59.8189,54.9049,17.1319,43.3958,,3.7998,189.943,11.1536,2.54823,4.37698,1.006,0.306971,0.070133,0.2368379682302475,0.218564,1.09821,0.295731,0.751729,0.449349,,3.06481,3.92542,3.60862,97.5,,,,"14374"
"Corbin Burnes",,12.1953,10.6945,19.2734,3.64198,32,32,0,0,197.374,821.705,181.959,86.9893,79.87,22.2374,55.0657,,7.4077,201.503,9.18828,2.51093,3.65931,1.014,0.245225,0.0670139,0.1782110333442688,0.239662,1.20089,0.298271,0.728708,0.453,,3.53888,3.87384,3.58736,38.25,,,,"19361"
"Cole Ragans","KCR",12.4065,10.2153,19.0031,3.51965,32,32,0,0,193.061,807.789,165.528,81.9308,75.501,20.5289,72.9102,,6.8614,218.926,10.2057,3.39887,3.00268,0.957,0.271019,0.090259,0.1807599514722824,0.227368,1.23504,0.296788,0.746348,0.406675,,3.52045,3.82233,4.23188,53.130001068115234,,,,"21846"
"Blake Snell",,11.8237,9.3873,17.3249,3.3557,30.78,30.78,0,0,176.423,738.17,138.27,71.5433,65.7802,18.8184,75.9031,,5.2499,227.736,11.6177,3.87211,3.00035,0.96,0.308514,0.102826,0.20568813383579254,0.210451,1.21397,0.291016,0.759366,0.404,,3.35141,3.72214,3.83069,49.630001068115234,,,,"13543"
"Sonny Gray","STL",11.9782,9.723,18.4133,3.43492,30.78,30.78,0,0,184.766,765.391,165.433,77.023,70.5172,19.6467,51.3662,,6.8365,197.546,9.62254,2.50207,3.84584,0.957,0.258098,0.0671111,0.19098709523677826,0.233931,1.17337,0.297526,0.738409,0.447268,,3.3555,3.69208,3.83891,111.62999725341797,,,,"12768"
"Framber Valdez","HOU",12.7495,9.5147,20.0222,3.44385,30.78,30.78,0,0,194.848,809.84,183.023,82.5755,74.5584,16.5187,62.305,,9.0767,187.485,8.65994,2.87787,3.00915,0.763,0.231509,0.0769349,0.15457411110401154,0.247845,1.25908,0.311541,0.732454,0.567966,,3.4432,3.69045,3.69244,68.37999725341797,,,,"17295"
"Pablo López","MIN",12.13,10.5084,18.6472,3.62278,32,32,0,0,193.107,798.952,177.709,84.2705,77.7314,23.3015,48.0737,,8.6191,202.898,9.45633,2.24054,4.22056,1.086,0.253955,0.0601709,0.1937839686870575,0.239416,1.16921,0.299204,0.732614,0.431034,,3.51449,3.63639,3.46792,65.75,,,,"17085"
"Dylan Cease","SDP",12.4946,9.8799,18.3209,3.52552,32,32,0,0,188.994,788.13,156.243,79.9884,74.0334,22.4902,70.3564,,6.4438,224.307,10.6816,3.35042,3.18815,1.071,0.284606,0.08927,0.19533605873584747,0.219649,1.19898,0.28793,0.751416,0.380462,,3.55888,3.60989,3.69096,48.380001068115234,,,,"18525"
"Shane McClanahan","TBR",11.2271,9.5174,18.2821,3.32603,29.16,29.16,0,0,178.046,729.397,153.619,71.8791,65.7984,19.8818,51.9951,,5.1423,198.153,10.0164,2.62829,3.811,1.005,0.271667,0.071285,0.20038210600614548,0.228511,1.15484,0.294429,0.752251,0.448507,,3.35502,3.56455,3.52978,102,,,,"21483"
"Logan Webb","SFG",12.0817,11.0369,20.4486,3.4807,32,32,0,0,201.109,841.11,202.848,86.3731,77.7779,16.8485,45.1693,,6.4454,174.954,7.82951,2.02141,3.8733,0.754,0.208004,0.053702,0.15430192276835442,0.256934,1.23325,0.311196,0.720245,0.558832,,3.28565,3.55662,3.52409,90,,,,"17995"
"Yoshinobu Yamamoto","LAD",12.5396,8.9381,17.3924,3.57941,30.78,30.78,0,0,181.496,749.364,165.292,78.5671,72.1831,21.6988,49.5906,,6.0459,190.745,9.45866,2.45909,3.8464,1.076,0.254543,0.0661769,0.18836600333452225,0.238266,1.18395,0.298354,0.73882,0.456308,,3.53841,3.53086,3.37008,50.880001068115234,,,,"33825"
"Logan Gilbert","SEA",12.1592,10.8141,20.2552,3.42627,32,32,0,0,198.742,808.222,176.551,82.0181,75.6603,24.9531,42.8511,,6.1061,207.815,9.41087,1.94051,4.8497,1.13,0.257126,0.053019,0.20410702750086784,0.232528,1.10395,0.287936,0.744758,0.405621,,3.4464,3.52299,3.47471,30.75,,,,"22250"
"Sandy Alcantara","MIA",10.935,11.6877,19.4175,3.83732,30.78,30.78,0,0,199.32,835.725,198.282,92.633,84.984,21.9474,50.4652,,8.0179,179.724,8.11517,2.27868,3.56135,0.991,0.215052,0.0603849,0.15466704219579697,0.25511,1.24798,0.306365,0.716052,0.479823,,3.67479,3.49464,3.39461,167.25,,,,"18684"
