Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",14,7,,3.47231,29,27,,,160.7,652,126,66,62,20,44,1,9,222,12.4331,2.46422,5.04545,1.1201,0.340491,0.0674847,0.2730061262845993,0.210351,1.05787,0.296919,0.732394,,,3.09947,4.37911,4.02952,999,,,,"27498"
"Logan Webb","SFG",12,8,,3.41772,29,29,,,181.7,753,175,74,69,17,39,0,7,156,7.72702,1.93176,4,0.842047,0.207171,0.0517928,0.15537849068641663,0.247525,1.17777,0.29588,0.736067,,,3.51371,3.80026,4.22615,999,,,,"17995"
"Corbin Burnes","MIL",9,7,,3.51774,28,28,,,166.3,688,141,70,65,17,51,0,8,174,9.41672,2.76007,3.41176,0.920024,0.252907,0.0741279,0.17877907305955887,0.224165,1.15454,0.283105,0.725327,,,3.5557,3.7937,3.9267,999,,,,"19361"
"Yoshinobu Yamamoto","LAD",14,7,,3.53757,26,26,,,173,680,135,74,68,23,33,1,5,168,8.73988,1.71676,5.09091,1.19653,0.247059,0.0485294,0.1985294111073017,0.21028,0.971098,0.248337,0.692194,,,3.70013,3.71,3.74778,999,,,,"sa3023345"
"Aaron Nola","PHI",9,8,,4.24204,26,26,,,157,651,154,79,74,20,32,1,5,154,8.82803,1.83439,4.8125,1.1465,0.236559,0.0491551,0.18740399181842804,0.250814,1.18471,0.304545,0.677215,,,3.65631,3.52657,2.37754,999,,,,"16149"
"Sandy Alcantara","MIA",9,9,,3.68182,27,27,,,176,728,165,77,72,19,41,1,7,151,7.72159,2.09659,3.68293,0.971591,0.207418,0.0563187,0.15109889581799507,0.242647,1.17045,0.286275,0.719064,,,3.76072,3.40403,3.86595,999,,,,"18684"
"Bobby Miller","LAD",11,7,,3.75252,27,27,,,148.7,612,129,66,62,15,40,0,7,137,8.29186,2.42098,3.425,0.907868,0.223856,0.0653595,0.15849673002958298,0.228319,1.13652,0.276029,0.695946,,,3.67199,3.22889,2.9513,999,,,,"27483"
"George Kirby","SEA",11,8,,3.50649,27,27,,,161.7,658,154,67,63,19,25,0,6,144,8.01484,1.39147,5.76,1.05751,0.218845,0.0379939,0.1808510571718216,0.245614,1.10699,0.290948,0.734908,,,3.57662,3.22717,3.43469,999,,,,"25436"
"Pablo López","MIN",9,7,,3.87216,28,28,,,162.7,676,148,75,70,20,42,1,9,168,9.29318,2.32329,4,1.10633,0.248521,0.0621302,0.18639053776860237,0.2368,1.16779,0.292906,0.709877,,,3.7283,3.05111,2.85921,999,,,,"17085"
"Eury Pérez","MIA",8,7,,3.50735,29,29,,,136,556,115,57,53,15,38,0,4,141,9.33088,2.51471,3.71053,0.992647,0.253597,0.0683453,0.18525178730487823,0.223735,1.125,0.27933,0.727273,,,3.54181,2.97369,3.23612,999,,,,"27768"
"Zach Eflin","TBR",11,8,,3.68098,27,26,,,146.7,602,143,64,60,17,25,2,4,135,8.28221,1.53374,5.4,1.04294,0.224252,0.0415282,0.1827242523431778,0.249564,1.14519,0.299287,0.721221,,,3.51407,2.93282,2.72111,999,,,,"13774"
"Luis Castillo","SEA",10,7,,3.49968,26,26,,,154.3,638,136,64,60,17,45,1,5,154,8.9825,2.62476,3.42222,0.991575,0.241379,0.0705329,0.1708463877439499,0.231293,1.17304,0.285372,0.744275,,,3.66334,2.91718,3.26956,999,,,,"15689"
"Zack Wheeler","PHI",8,7,,4.0625,24,24,,,144,614,143,70,65,16,43,1,6,133,8.3125,2.6875,3.09302,1,0.216612,0.0700326,0.146579809486866,0.253097,1.29167,0.305288,0.709046,,,3.8731,2.87432,2.43052,999,,,,"10310"
"Julio Urías",,13,8,,3.81305,27,26,,,148.7,611,138,67,63,20,31,1,6,138,8.35239,1.87626,4.45161,1.21049,0.225859,0.0507365,0.17512274160981178,0.240418,1.13652,0.283654,0.723404,,,3.89391,2.8373,2.83251,999,,,,"14765"
"Walker Buehler","LAD",10,5,,3.73026,25,25,,,152,625,138,67,63,20,37,1,5,140,8.28947,2.19079,3.78378,1.18421,0.224,0.0592,0.1648000068962574,0.236707,1.15132,0.27896,0.734694,,,3.95241,2.81257,3.07063,999,,,,"19374"
"Shane McClanahan","TBR",11,5,,3.15328,24,24,,,137,561,119,51,48,15,38,1,2,142,9.32847,2.49635,3.73684,0.985401,0.253119,0.0677362,0.18538325279951096,0.228407,1.14599,0.285714,0.779412,,,3.48132,2.80603,3.55298,999,,,,"21483"
"Hunter Greene","CIN",9,9,,4.18754,27,27,,,139.7,579,113,70,65,21,44,0,11,167,10.7588,2.83465,3.79545,1.3529,0.288428,0.0759931,0.21243524551391602,0.215649,1.12384,0.27381,0.681818,,,3.99949,2.78306,2.46025,999,,,,"22182"
"Dylan Cease","CHW",8,7,,4.12258,28,28,,,155,664,140,76,71,20,62,2,7,172,9.9871,3.6,2.77419,1.16129,0.259036,0.0933735,0.16566266119480133,0.235294,1.30323,0.297767,0.724138,,,4.04859,2.75432,2.42323,999,,,,"18525"
"Max Fried","ATL",11,6,,3.4964,24,24,,,139,586,137,58,54,14,38,1,4,120,7.76978,2.46043,3.15789,0.906475,0.204778,0.0648464,0.13993173092603683,0.251838,1.25899,0.3,0.752896,,,3.74425,2.72152,3.41091,999,,,,"13743"
"Drew Thorpe","SDP",9,7,,3.61364,22,22,,,132,538,116,57,53,15,35,0,0,120,8.18182,2.38636,3.42857,1.02273,0.223048,0.0650558,0.15799256414175034,0.230616,1.14394,0.274457,0.723077,,,3.70959,2.64778,2.60569,999,,,,"sa3020678"
"Brandon Pfaadt","ARI",9,8,,3.85625,26,26,,,144.7,600,136,66,62,18,33,0,7,139,8.64547,2.05252,4.21212,1.11956,0.231667,0.055,0.17666666954755783,0.242857,1.16793,0.292804,0.716273,,,3.78026,2.64047,2.86927,999,,,,"27782"
