"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","SO","WHIP","playerid"
"Tommy Hunter","NYM","0","0","0.00","4","1","0","0","0","0","8.0","33","4","0","0","0","3","0","1","1","6","0.88","1157"
"Oliver Perez","CLE","0","1","0.00","5","0","0","0","0","0","3.2","18","5","1","0","0","1","1","0","0","4","1.64","1514"
"Anthony Rizzo","CHC","0","0","0.00","1","0","0","0","0","0","0.2","3","0","0","0","0","1","0","0","0","1","1.50","3473"
"Pedro Strop","CHC","1","0","0.00","2","0","0","0","0","0","2.0","10","2","0","0","0","2","0","0","0","3","2.00","4070"
"Asdrubal Cabrera","ARI","0","0","0.00","2","0","0","0","0","0","1.1","4","1","0","0","0","0","0","0","0","0","0.75","4962"
"Hernan Perez","WSN","0","0","0.00","2","0","0","0","0","0","2.0","7","1","0","0","0","0","0","0","0","2","0.50","5751"
"Eric Sogard","CHC","0","0","0.00","1","0","0","0","0","0","1.0","6","2","0","0","0","0","0","1","0","0","2.00","7927"
"Matt Carpenter","STL","0","0","0.00","1","0","0","0","0","0","1.1","6","2","0","0","0","0","0","1","0","0","1.50","8090"
"Mike Freeman","CIN","0","0","0.00","1","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","1","0.00","11241"
"Hanser Alberto","KCR","0","0","0.00","1","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0.00","11902"
"Domingo Tapia","SEA","0","0","0.00","2","0","0","0","0","0","2.0","11","4","0","0","0","1","0","0","0","1","2.50","12178"
"Phillip Evans","PIT","0","0","0.00","1","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0.00","12950"
"Dominic Leone","SFG","0","0","0.00","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","2","1.00","13763"
"Matt Duffy","CHC","0","0","0.00","1","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0.00","13836"
"Daniel Robertson","MIL","0","0","0.00","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1.00","14145"
"Wyatt Mathisen","ARI","0","0","0.00","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1.00","14555"
"James Hoyt","LAA","0","0","0.00","2","0","0","0","0","0","1.2","9","1","0","0","0","3","0","0","0","2","2.40","14605"
"Harold Castro","DET","0","0","0.00","1","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1.00","14691"
"Pat Valaika","BAL","0","0","0.00","1","0","0","0","0","0","1.0","4","0","0","0","0","0","0","0","0","0","0.00","14885"
"Ashton Goudeau","CIN","0","0","0.00","2","0","0","0","0","0","4.0","14","1","0","0","0","1","0","0","0","2","0.50","15139"
"Jack Mayfield","SEA","0","0","0.00","1","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0.00","15402"
"Kohl Stewart","CHC","1","0","0.00","1","1","0","0","0","0","5.0","19","3","1","0","0","1","0","1","0","2","0.80","15502"
"Kendall Graveman","SEA","1","0","0.00","14","0","0","0","5","0","16.2","58","6","0","0","0","3","0","1","1","17","0.54","15514"
"Brad Wieck","CHC","0","0","0.00","6","0","0","0","0","0","6.0","24","5","0","0","0","1","0","0","0","7","1.00","16390"
"Julian Merryweather","TOR","0","0","0.00","4","0","0","0","2","0","4.1","14","1","0","0","0","1","0","0","0","7","0.46","16703"
"Josh Fuentes","COL","0","0","0.00","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1.00","16885"
"Ranger Suarez","PHI","0","0","0.00","9","0","0","0","0","0","14.1","54","6","1","0","0","4","0","2","0","12","0.70","17277"
"Ryan Burr","CHW","0","0","0.00","2","0","0","0","0","0","2.1","7","0","0","0","0","0","0","0","1","3","0.00","17536"
"Trevor Megill","CHC","0","0","0.00","2","0","0","0","0","0","2.0","9","2","0","0","0","1","0","0","1","2","1.50","17722"
"Max Schrock","CIN","0","0","0.00","1","0","0","0","0","0","0.2","3","0","0","0","0","0","0","0","0","0","0.00","17750"
"Jake Cronenworth","SDP","0","0","0.00","1","0","0","0","0","0","0.2","3","1","0","0","0","0","0","0","0","1","1.50","18036"
"Ka'ai Tom","OAK","0","0","0.00","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1.00","18136"
